# Iso-VMAF table derived from encode_parity_nvenc_24c_2026-06-20.json (measured 2026-06-20T16:43:26+00:00; VMAF v0.6.1 default model; 1080p single rendition; linear interpolation between measured sweep points, method as /methodology#energy-budget)
clip,complexity,codec,profile,vmaf_target,bitrate_kbps_at_target,wh_per_min_at_target,max_measured_vmaf,sweep_points
bbb_120s,high,av1,gpu_tuned,88,2065,0.264,93.94,5
bbb_120s,high,av1,gpu_tuned,90,2507,0.27,93.94,5
bbb_120s,high,av1,gpu_tuned,92,3487,0.256,93.94,5
bbb_120s,high,av1,gpu_tuned,94,,,93.94,5
bbb_120s,high,av1,gpu_tuned,96,,,93.94,5
kranjska_120s,sport,h264,cpu,88,8261,0.235,99.8,5
kranjska_120s,sport,h264,cpu,90,8995,0.241,99.8,5
kranjska_120s,sport,h264,cpu,92,10504,0.243,99.8,5
kranjska_120s,sport,h264,cpu,94,12166,0.245,99.8,5
kranjska_120s,sport,h264,cpu,96,13925,0.248,99.8,5
kranjska_120s,sport,h264,gpu_baseline,88,9473,0.066,96.45,5
kranjska_120s,sport,h264,gpu_baseline,90,11129,0.066,96.45,5
kranjska_120s,sport,h264,gpu_baseline,92,13020,0.066,96.45,5
kranjska_120s,sport,h264,gpu_baseline,94,15823,0.067,96.45,5
kranjska_120s,sport,h264,gpu_baseline,96,19758,0.067,96.45,5
kranjska_120s,sport,h264,gpu_tuned,88,9474,0.107,96.65,5
kranjska_120s,sport,h264,gpu_tuned,90,11004,0.106,96.65,5
kranjska_120s,sport,h264,gpu_tuned,92,12648,0.106,96.65,5
kranjska_120s,sport,h264,gpu_tuned,94,15450,0.106,96.65,5
kranjska_120s,sport,h264,gpu_tuned,96,19243,0.107,96.65,5
kranjska_120s,sport,h265,cpu,88,8162,0.654,96.41,5
kranjska_120s,sport,h265,cpu,90,9254,0.688,96.41,5
kranjska_120s,sport,h265,cpu,92,10759,0.724,96.41,5
kranjska_120s,sport,h265,cpu,94,12517,0.752,96.41,5
kranjska_120s,sport,h265,cpu,96,14836,0.763,96.41,5
kranjska_120s,sport,h265,gpu_baseline,88,8477,0.065,93.46,5
kranjska_120s,sport,h265,gpu_baseline,90,9960,0.068,93.46,5
kranjska_120s,sport,h265,gpu_baseline,92,11935,0.069,93.46,5
kranjska_120s,sport,h265,gpu_baseline,94,,,93.46,5
kranjska_120s,sport,h265,gpu_baseline,96,,,93.46,5
kranjska_120s,sport,h265,gpu_tuned,88,8286,0.15,93.71,5
kranjska_120s,sport,h265,gpu_tuned,90,9772,0.154,93.71,5
kranjska_120s,sport,h265,gpu_tuned,92,11659,0.156,93.71,5
kranjska_120s,sport,h265,gpu_tuned,94,,,93.71,5
kranjska_120s,sport,h265,gpu_tuned,96,,,93.71,5
kranjska_120s,sport,av1,cpu,88,7239,0.206,93.47,5
kranjska_120s,sport,av1,cpu,90,8365,0.205,93.47,5
kranjska_120s,sport,av1,cpu,92,9954,0.21,93.47,5
kranjska_120s,sport,av1,cpu,94,,,93.47,5
kranjska_120s,sport,av1,cpu,96,,,93.47,5
kranjska_120s,sport,av1,gpu_baseline,88,7211,0.068,93.5,5
kranjska_120s,sport,av1,gpu_baseline,90,8352,0.067,93.5,5
kranjska_120s,sport,av1,gpu_baseline,92,9937,0.068,93.5,5
kranjska_120s,sport,av1,gpu_baseline,94,,,93.5,5
kranjska_120s,sport,av1,gpu_baseline,96,,,93.5,5
kranjska_120s,sport,av1,gpu_tuned,88,7178,0.116,93.78,5
kranjska_120s,sport,av1,gpu_tuned,90,8209,0.117,93.78,5
kranjska_120s,sport,av1,gpu_tuned,92,9735,0.113,93.78,5
kranjska_120s,sport,av1,gpu_tuned,94,,,93.78,5
kranjska_120s,sport,av1,gpu_tuned,96,,,93.78,5
